# SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
373050     2      0.1217550164   1.00000000    1.00000000   0.18022250
373051     2      0.1217550164   1.00000000    1.00000000   0.18022250
373052     2      0.1217550164   1.00000000    1.00000000   0.18022250
373053     2      0.1217550164   1.00000000    1.00000000   0.18022250
373054     2      0.1217550164   1.00000000    1.00000000   0.18022250
373055     2      0.1217550164   1.00000000    1.00000000   0.18022250
373056     2      0.1217550164   1.00000000    1.00000000   0.18022250
373057     2      0.1217550164   1.00000000    1.00000000   0.18022250
373058     2      0.0662688381   1.00000000    1.00000000   0.18861830
373059     2      0.0662688381   1.00000000    1.00000000   0.18861830
373060     2      0.0662688381   1.00000000    1.00000000   0.18861830
373061     2      0.0662688381   1.00000000    1.00000000   0.18861830
373062     2      0.0662688381   1.00000000    1.00000000   0.18861830
373063     2      0.0662688381   1.00000000    1.00000000   0.18861830
373064     2      0.0662688381   1.00000000    1.00000000   0.18861830
373065     2      0.0662688381   1.00000000    1.00000000   0.18861830
373066     2      0.0662688381   1.00000000    1.00000000   0.18861830
373067     2      0.0371481305   1.00000000    1.00000000   0.20282649
373068     2      0.0371481305   1.00000000    1.00000000   0.20282649
373069     2      0.0371481305   1.00000000    1.00000000   0.20282649
373070     2      0.0371481305   1.00000000    1.00000000   0.20282649
373071     2      0.0371481305   1.00000000    1.00000000   0.20282649
373072     2      0.0371481305   1.00000000    1.00000000   0.20282649
373073     2      0.0371481305   1.00000000    1.00000000   0.20282649
373074     2      0.0371481305   1.00000000    1.00000000   0.20282649
373075     2      0.0371481305   1.00000000    1.00000000   0.20282649
373076     2      0.0213276508   1.00000000    1.00000000   0.21748761
373077     2      0.0213276508   1.00000000    1.00000000   0.21748761
373078     2      0.0213276508   1.00000000    1.00000000   0.21748761
373079     2      0.0213276508   1.00000000    1.00000000   0.21748761
373080     2      0.0213276508   1.00000000    1.00000000   0.21748761
373081     2      0.0213276508   1.00000000    1.00000000   0.21748761
373082     2      0.0213276508   1.00000000    1.00000000   0.21748761
373083     2      0.0213276508   1.00000000    1.00000000   0.21748761
373084     2      0.0213276508   1.00000000    1.00000000   0.21748761
373085     2      0.0213276508   1.00000000    1.00000000   0.21748761
373086     2      0.0125334060   1.00000000    1.00000000   0.23263165
373087     2      0.0125334060   1.00000000    1.00000000   0.23263165
373088     2      0.0125334060   1.00000000    1.00000000   0.23263165
373089     2      0.0125334060   1.00000000    1.00000000   0.23263165
373090     2      0.0125334060   1.00000000    1.00000000   0.23263165
373091     2      0.0125334060   1.00000000    1.00000000   0.23263165
373092     2      0.0125334060   1.00000000    1.00000000   0.23263165
373093     2      0.0125298557   1.00000000    1.00000000   0.23298091
373094     2      0.0125298557   1.00000000    1.00000000   0.23298091
373095     2      0.0125298557   1.00000000    1.00000000   0.23298091
373096     2      0.0075264110   1.00000000    1.00000000   0.24689974
373097     2      0.0075264110   1.00000000    1.00000000   0.24689974
373098     2      0.0075264110   1.00000000    1.00000000   0.24689974
373099     2      0.0075264110   1.00000000    1.00000000   0.24689974
373100     2      0.0075264110   1.00000000    1.00000000   0.24689974
373101     2      0.0075264110   1.00000000    1.00000000   0.24689974
373102     2      0.0075264110   1.00000000    1.00000000   0.24689974
373103     2      0.0075264110   1.00000000    1.00000000   0.24689974
373104     2      0.0075264110   1.00000000    1.00000000   0.24689974
373105     2      0.0075264110   1.00000000    1.00000000   0.24689974
373106     2      0.0045751074   1.00000000    1.00000000   0.26363920
373107     2      0.0045751074   1.00000000    1.00000000   0.26363920
373108     2      0.0045751074   1.00000000    1.00000000   0.26363920
373109     2      0.0045751074   1.00000000    1.00000000   0.26363920
373110     2      0.0045965378   1.00000000    1.00000000   0.26333641
373111     2      0.0045965378   1.00000000    1.00000000   0.26333641
373112     2      0.0045965378   1.00000000    1.00000000   0.26333641
373113     2      0.0045965378   1.00000000    1.00000000   0.26333641
373114     2      0.0045965378   1.00000000    1.00000000   0.26333641
373115     2      0.0045965378   1.00000000    1.00000000   0.26333641
373116     2      0.0045965378   1.00000000    1.00000000   0.26333641
373117     2      0.0028281605   1.00000000    1.00000000   0.28201950
373118     2      0.0028281605   1.00000000    1.00000000   0.28201950
373119     2      0.0028281605   1.00000000    1.00000000   0.28201950
373120     2      0.0028281605   1.00000000    1.00000000   0.28201950
373121     2      0.0028281605   1.00000000    1.00000000   0.28201950
373122     2      0.0028281605   1.00000000    1.00000000   0.28201950
373123     2      0.0028281605   1.00000000    1.00000000   0.28201950
373124     2      0.0028281605   1.00000000    1.00000000   0.28201950
373125     2      0.0028281605   1.00000000    1.00000000   0.28201950
373126     2      0.0028281605   1.00000000    1.00000000   0.28201950
373127     2      0.0028281605   1.00000000    1.00000000   0.28201950
373128     2      0.0017647600   1.00000000    1.00000000   0.29857550
373129     2      0.0017647600   1.00000000    1.00000000   0.29857550
373130     2      0.0017647600   1.00000000    1.00000000   0.29857550
373131     2      0.0017647600   1.00000000    1.00000000   0.29857550
373132     2      0.0017647600   1.00000000    1.00000000   0.29857550
373133     2      0.0017647600   1.00000000    1.00000000   0.29857550
373134     2      0.0017647600   1.00000000    1.00000000   0.29857550
373135     2      0.0017647600   1.00000000    1.00000000   0.29857550
373136     2      0.0017647600   1.00000000    1.00000000   0.29857550
373137     2      0.0017647600   1.00000000    1.00000000   0.29857550
373138     2      0.0017647600   1.00000000    1.00000000   0.29857550
373139     2      0.0017647600   1.00000000    1.00000000   0.29857550
373140     2      0.0011173534   1.00000000    1.00000000   0.31427668
373141     2      0.0011173534   1.00000000    1.00000000   0.31427668
373142     2      0.0011173534   1.00000000    1.00000000   0.31427668
373143     2      0.0011173534   1.00000000    1.00000000   0.31427668
373144     2      0.0011173534   1.00000000    1.00000000   0.31427668
373145     2      0.0011173534   1.00000000    1.00000000   0.31427668
373146     2      0.0011173534   1.00000000    1.00000000   0.31427668
373147     2      0.0011173534   1.00000000    1.00000000   0.31427668
373148     2      0.0011173534   1.00000000    1.00000000   0.31427668
373149     2      0.0011173534   1.00000000    1.00000000   0.31427668
373150     2      0.0011173534   1.00000000    1.00000000   0.31427668
373151     2      0.0007123991   1.00000000    1.00000000   0.33260665
373152     2      0.0007123991   1.00000000    1.00000000   0.33260665
373153     2      0.0007123991   1.00000000    1.00000000   0.33260665
373154     2      0.0007123991   1.00000000    1.00000000   0.33260665
373155     2      0.0007123991   1.00000000    1.00000000   0.33260665
373156     2      0.0007123991   1.00000000    1.00000000   0.33260665
373157     2      0.0007123991   1.00000000    1.00000000   0.33260665
373158     2      0.0007123991   1.00000000    1.00000000   0.33260665
373159     2      0.0007123991   1.00000000    1.00000000   0.33260665
373160     2      0.0007123991   1.00000000    1.00000000   0.33260665
373161     2      0.0007123991   1.00000000    1.00000000   0.33260665
