# SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
373162   111      0.0000483792   1.00000000    1.00000000   0.07343304
373162   112      0.5688367805   1.00000000    1.00000000   0.06957537
373162   113      0.0000143477   1.00000000    1.00000000   0.07602580
373162   115      0.6714869622   1.00000000    1.00000000   0.06427526
373162   117      0.3904367921   1.00000000    1.00000000   0.08537809
373162   118      0.0000000006   1.00000000    1.00000000   0.16556684
373162   123      0.0130882317   1.00000000    1.00000000   0.06450252
373162   125      0.6190944538   1.00000000    1.00000000   0.06319481
373162   126      0.0000000009   1.00000000    1.00000000   0.17055846
373162   127      0.3560026712   1.00000000    1.00000000   0.08389064
373162   133      0.0000051168   1.00000000    1.00000000   0.08039770
373162   134      0.0000000105   1.00000000    1.00000000   0.11725173
373162   135      0.0161731450   1.00000000    1.00000000   0.05572888
373162   137      0.0085263192   1.00000000    1.00000000   0.07659916
373162   138      0.0000000048   1.00000000    1.00000000   0.19355612
373162   146      0.0000000010   1.00000000    1.00000000   0.94995213
373162   148      0.0000000004   1.00000000    1.00000000   0.61785919
373162   157      0.5521394832   1.00000000    1.00000000   0.07204170
373162   158      0.0000000005   1.00000000    1.00000000   0.10295209
373162   168      0.0000000016   1.00000000    1.00000000   0.42734766
373163   111      0.0000196714   1.00000000    1.00000000   0.07428763
373163   112      0.1758869805   1.00000000    1.00000000   0.06980716
373163   113      0.0000061260   1.00000000    1.00000000   0.06978701
373163   115      0.2160204868   1.00000000    1.00000000   0.05966205
373163   117      0.1177445654   1.00000000    1.00000000   0.08068680
373163   118      0.0000000013   1.00000000    1.00000000   0.17432446
373163   123      0.0204883285   1.00000000    1.00000000   0.06278053
373163   125      0.2239407428   1.00000000    1.00000000   0.06049986
373163   126      0.0000000010   1.00000000    1.00000000   0.16748837
373163   127      0.1193664518   1.00000000    1.00000000   0.07533479
373163   133      0.0000042444   1.00000000    1.00000000   0.07812131
373163   134      0.0000000095   1.00000000    1.00000000   0.11974973
373163   135      0.0259361106   1.00000000    1.00000000   0.05566314
373163   137      0.0132648086   1.00000000    1.00000000   0.07927991
373163   138      0.0000000041   1.00000000    1.00000000   0.19517684
373163   146      0.0000000010   1.00000000    1.00000000   0.95165096
373163   148      0.0000000004   1.00000000    1.00000000   0.61759968
373163   157      0.1948856648   1.00000000    1.00000000   0.06664596
373163   158      0.0000000005   1.00000000    1.00000000   0.10662261
373163   168      0.0000000016   1.00000000    1.00000000   0.42717091
373164   111      0.0000074939   1.00000000    1.00000000   0.07542214
373164   112      0.0673675481   1.00000000    1.00000000   0.06184319
373164   113      0.0000035810   1.00000000    1.00000000   0.06769921
373164   115      0.0850827119   1.00000000    1.00000000   0.05658214
373164   117      0.0435884294   1.00000000    1.00000000   0.07583843
373164   118      0.0000000017   1.00000000    1.00000000   0.18293018
373164   123      0.0155699186   1.00000000    1.00000000   0.06331602
373164   125      0.0991679171   1.00000000    1.00000000   0.06269414
373164   126      0.0000000010   1.00000000    1.00000000   0.16787361
373164   127      0.0495491210   1.00000000    1.00000000   0.07607020
373164   133      0.0000026593   1.00000000    1.00000000   0.07750297
373164   134      0.0000000079   1.00000000    1.00000000   0.12365700
373164   135      0.0200144632   1.00000000    1.00000000   0.05860450
373164   137      0.0097090776   1.00000000    1.00000000   0.07283392
373164   138      0.0000000034   1.00000000    1.00000000   0.20235294
373164   146      0.0000000010   1.00000000    1.00000000   0.95172919
373164   148      0.0000000004   1.00000000    1.00000000   0.62130314
373164   157      0.0842664222   1.00000000    1.00000000   0.06446239
373164   158      0.0000000005   1.00000000    1.00000000   0.11122051
373164   168      0.0000000016   1.00000000    1.00000000   0.42717091
373165   111      0.0000009969   1.00000000    1.00000000   0.08631863
